bf01,model
224.778313281899,1
0.00171469989742859,2
0.605835408218798,3
186.81806078166,4
13.9630908997556,5
49.8725141667705,6
49.2423279480107,7
188.22867186958,8
57.2521736362324,9
40.3397549220744,10
81.5557040809242,11
